type,entry_name,playertext,BASQUE,NOTES,,
activity,Beginning your adventure,Beginning your adventure,Comenzar tu aventura,,"GENERAL NOTES: These  strings are used in an interactive help system on Playstation platforms. When the player opens the help menu, a selection of appropriate items will appear, each of which will have hints showing them how to progress. The strings here are the titles of those items.
The strings are intentionally short and often somewhat vague.

Some of these concepts and phrases here are also mentioned in the existing localization document.",
task,get stick,Start exploring!,¡Comienza a explorar!,,,
task,do playable intro,Investigate the Golden Door,Investiga la puerta dorada.,,,
task,get key,Find a key,Encuentra una llave.,,,
task,open door,Open the small door,Abre la puerta pequeña.,,,
task,enter east forest,Find new places to explore,Encuentra nuevos lugares que explorar.,,,
task,find path to hero's grave,Explore the forest,Explora el bosque.,,,
task,open portcullis,Open the forest portcullis,Abre la puerta levadiza del bosque.,,,
task,get sword,Get the sword,Consigue la espada.,,,
task,get past the Guard Capain,Escape the forest,Escapa del bosque.,,,
task,ring the east bell,Ring the East Bell,Toca la campana del este.,,,
activity,ring the west bell,Ring the West Bell,Toca la campana del oeste.,,,
task,get the old key,See if you can find anything useful lying around…,A ver si puedes encontrar algo útil por el suelo...,,,
task,unlock the old house,You found a key... Is there a door anywhere?,Has encontrado una llave. ¿Hay una puerta en algún lado?,,,
task,enter house/get the shield,Find something useful in the Old House,Encuentra algo útil en la vieja casa.,,,
task,go under the well,"Find a dark, wet place",Encuentra un lugar oscuro y húmedo.,,,
task,get the lantern,Find the treasures beneath the well,Encuentra los tesoros bajo el pozo.,,,
task,enter the dark tomb,You found a lantern… Is there somewhere dark?,Has encontrado un farol... ¿Hay algún lugar oscuro?,,,
task,find west garden,Explore the Dark Tomb and beyond…,Explora la tumba oscura y más allá...,"""and beyond"" as in through/past the Dark Tomb",,
task,find the magic dagger,Find an important treasure in the West Garden,Encuentra un importante tesoro en el jardín del oeste.,,,
task,defeat the garden knight,Defeat the guardian of the West Garden,Derrota al guardián en el jardín del oeste.,,,
task,ring the west bell,Ring the West Bell,Toca la campana del oeste.,,,
activity,the temple,The Sealed Temple,El templo sellado,,,
task,open temple door,Both Bells are Rung. The Sealed Temple Awaits.,Ambas campanas han sonado: el templo sellado aguarda.,,,
task,find page 24,Find an important treasure in the Sealed Temple.,Encuentra un importante tesoro en el templo sellado.,,,
task,get wand,A valuable tool lies above the temple.,Una valiosa herramienta yace sobre el templo.,"""Tool"" refers to a magic item",,
activity,hexagon 1 (red),"Find a Key, coveted in a forest fortress","Encuentra una llave, deseada en una fortaleza del bosque.","""coveted"" as in protected jealously",,
task,demonstrate fuse knowledge,A special technique is hinted at on page 24,Hay una técnica especial desvelada en la página 24.,,,
task,enter fortress courtyard area,Find the Forest Fortress,Encuentra la fortaleza del bosque.,,,
task,pray to fuse 1,Activate a strange device,Activa un extraño dispositivo.,,,
task,pray to fuse 2,Activate another strange device,Activa otro extraño dispositivo.,,,
task,enter spidercave,Head below the Fortress,Ve bajo la fortaleza.,"""Head"" as in ""go"" or ""progress to""",,
task,pray to fuse in spidercave,Explore the damp cave beneath the Fortress,Explora la húmeda cueva bajo la fortaleza.,,,
task,pray to fuse in fortress main (west),Activate a strange device on the main floor of the Fortress,Activa un extraño dispositivo en la planta principal de la fortaleza.,,,
task,pray to fuse in fortress courtyard (upper),Upwards to the Fortress wall,"Hacia arriba, rumbo al muro de la fortaleza.",,,
task,pray to fuse in fortress courtyard (lower),The Fortress Courtyard,El patio de la fortaleza,,,
task,pray to fuses by fortress door,Open the golden door in the Fortress,Abre la puerta dorada de la fortaleza.,,,
task,encounter the spidertank once,Go deeper into the Fortress…,Adéntrate aún más en la fortaleza...,,,
task,defeat the spidertank,Defeat the Spidertank,Derrota a la máquina de asedio.,,,
task,get the red hexagon,Acquire the Red Key,Consigue la llave roja.,,,
activity,hexagon 2 (green),"Find a Key, stolen to the top of the sky",Encuentra una llave robada y llevada a lo alto del cielo.,,,
task,discover fast travel,Ever wonder what those gold platforms are for?,¿Alguna vez te has preguntado para qué son esas plataformas doradas?,,,
task,find atoll (once),Explore with the gold platforms,Explora con las plataformas doradas.,,,
task,go to the Atoll,Explore the Ruined Atoll,Explora el atolón en ruinas.,,,
task,pray to fuse NE,Activate a strange device in the north east of the Atoll,Activa un extraño dispositivo al noreste del atolón.,,,
task,return from the library,You missed something down in the Ruined Atoll…,Has pasado algo por alto en el atolón en ruinas.,,,
task,enter the frog cave,Find a cave in the Atoll,Encuentra una cueva en el atolón.,,,
task,open the gate in the big room,Open a gate deep in the Frog's Domain,Abre una puerta en el corazón del dominio de la rana.,,,
task,obtain the orb,Claim the prize of the Frog's Domain,Hazte con el premio del dominio de la rana.,,,
task,pray to fuse SE,Activate a strange device in the south east of the Atoll,Activa un extraño dispositivo al sureste del atolón.,,,
task,pray to fuse SW,Activate a strange device in the south west of the Atoll,Activa un extraño dispositivo al suroeste del atolón.,,,
task,pray to fuse NW,Activate a strange device in the north west of the Atoll,Activa un extraño dispositivo al noroeste del atolón.,,,
task,pray to central statue and visit library ext.,Four pillars activated… what's in the center?,Cuatro columnas activadas... ¿Qué hay en el centro?,,,
task,find the librarian (once),Explore the Library,Explora la biblioteca.,,,
task,defeat the librarian,Defeat the Librarian,Derrota al bibliotecario.,,,
task,get the green hexagon,Acquire the Green Key,Consigue la llave verde.,,,
activity,hexgon 3 (blue),"Find a Key, sealed at the root of the world","Encuentra una llave, sellada en las raíces del mundo.",,,
task,enter darkwoods tunnel,Find out what lies beyond the Forbidden Gate,Averigua lo que hay más allá de la puerta prohibida.,,,
task,pray to darkwoods fuse,Activate a strange device beyond the Forbidden Gate,Activa un extraño dispositivo más allá de la puerta prohibida.,,,
task,pray to quarry fuse,Activate a strange device in the Quarry,Activa un extraño dispositivo en la cantera.,,,
task,enter monastery,Climb to the top of the Quarry,Sube a lo alto de la cantera.,,,
task,get scavenger mask,Find a useful item in the Monastery,Encuentra un objeto útil en el monasterio.,,,
task,enter ziggurat,Deeper into the Quarry (with protective gear!),Más al interior de la cantera (¡con material de protección!),,,
task,defeat admin (ziggurat 1),Deeper into the Ziggurat…,Más al interior del zigurat...,,,
task,defeat admins (ziggurat 3),Deeper still into the Ziggurat…,Aún más al interior del zigurat...,,,
task,find the scavenger boss (once),Even deeper into the Ziggurat…,Todavía más al interior más del zigurat...,,,
task,defeat the scavenger boss,Defeat the Scavenger Boss,Derrota al jefe carroñero.,,,
task,get blue hexagon,Acquire the Blue Key,Consigue la llave azul.,,,
activity,the gyroscope,All Keys Found: The time has come…,Todas las llaves encontradas: ha llegado el momento...,,,
